workers,mbps
1,6.3366556283478825
2,11.532761763437355
3,16.234894633891315
4,21.321321616775503
5,25.416198811665804
6,28.985045461305667
7,30.45250324720287
8,33.189121649487745
9,33.40104454938149
10,35.320789236605165
11,37.04412556142704
12,37.027199230189595
