workers,mbps
1,8.936939528407828
2,9.166124062914585
3,9.212825866484058
4,9.441962820671339
5,9.231340187917166
6,8.69500846762945
7,8.95465215081852
8,8.951207005891229
9,9.09105270715859
10,8.836973926635054
11,8.861236853069716
12,8.81966161624259
